,Job Name,Company,Location,Salary,Job Description,Job Posted,Apply url
0,Software Developer,at Experian (Malaysia) Sdn Bhd,"Cyberjaya, Selangor",Not Mentioned,Hybrid Work CultureCompetitive Compensation and BenefitsProven Track Record in Career Development,8d ago,https://www.jobstreet.com.my/job/73524848?type=standout&ref=search-standalone
1,"Backend Developer (C#, Java and NodeJS)",at MINDTECK SOFTWARE MALAYSIA SDN BHD,Penang,Not Mentioned,Electronics GiantExcellent Infra and team membersGood package and benefits,8d ago,https://www.jobstreet.com.my/job/73522430?type=standout&ref=search-standalone
2,Mobile Developer (Flutter),at ENOTAKER TECHNOLOGY SDN. BHD.,"Cheras, Selangor","RM 4,800 – RM 7,000 per month",Career growth & development opportunitiesFree ParkingYearly Performance Bonus & Salary Increment,22d ago,https://www.jobstreet.com.my/job/73216957?type=standout&ref=search-standalone
3,Java Development Engineer,at INTHO SDN. BHD,"Kuala Lumpur City Centre, Kuala Lumpur","RM 6,800 – RM 10,200 per month",Not Mentioned,14h ago,https://www.jobstreet.com.my/job/73701269?type=standard&ref=search-standalone
4,Senior Java Engineer,at INTHO SDN. BHD,"Kuala Lumpur City Centre, Kuala Lumpur","RM 13,000 – RM 15,000 per month",Not Mentioned,14h ago,https://www.jobstreet.com.my/job/73701170?type=standard&ref=search-standalone
5,Software Developer (Java),at C SPEED NETWORK TECHNOLOGY SDN. BHD.,Kuala Lumpur,Not Mentioned,"Passionate, Energetic & Innovative Work CultureOutstanding Career Growth & Development OpportunitiesAttractive Remunerations Package",8h ago,https://www.jobstreet.com.my/job/73708977?type=standout&ref=search-standalone
6,Frontend Developer,at Hitachi eBworx Sdn. Bhd.,"Petaling Jaya, Selangor",Not Mentioned,Competitive salary packageMiscellaneous medical benefitHybrid working arrangement,15h ago,https://www.jobstreet.com.my/job/73699383?type=standout&ref=search-standalone
7,IT PROGRAMMER,at Union MK Limited,"Kota Kinabalu, Sabah",Not Mentioned,Not Mentioned,16h ago,https://www.jobstreet.com.my/job/73697937?type=standard&ref=search-standalone
8,Senior Web Developer,at AUCTHUX SDN. BHD.,Johor,"RM 4,500 – RM 6,000 per month",Culture of consistent learning and upgradingFlexible career pathways,9h ago,https://www.jobstreet.com.my/job/73708896?type=standout&ref=search-standalone
9,Senior Software Developer,at Autocount Dotcom Berhad,"Ara Damansara, Selangor","RM 8,000 – RM 12,000 per month",Not Mentioned,16h ago,https://www.jobstreet.com.my/job/73697604?type=standout&ref=search-standalone
10,Software Engineer,at FOMEMA IOT Sdn. Bhd.,"Kampung Pandan, Kuala Lumpur",Not Mentioned,Not Mentioned,5h ago,https://www.jobstreet.com.my/job/73710584?type=standout&ref=search-standalone
11,Team Lead,at CP Global Fintech Solutions Sdn Bhd,Kuala Lumpur,"RM 9,000 – RM 13,500 per month",Not Mentioned,10h ago,https://www.jobstreet.com.my/job/73707875?type=standard&ref=search-standalone
12,Software Developer (.Net),at Advanced Microelectronic Solutions (AMS) Sdn Bhd,Kuala Lumpur,Not Mentioned,Not Mentioned,15h ago,https://www.jobstreet.com.my/job/73698348?type=standard&ref=search-standalone
13,QA Analyst (Manual Software Test Engineer) (JB),at SNSOFT SDN. BHD.,"Johor Bahru, Johor","RM 3,000 – RM 4,000 per month","Outstanding career growth & development opportunitiesCompetitive salary & work benefit packagePassionate, energetic & innovative work culture",16h ago,https://www.jobstreet.com.my/job/73697738?type=standout&ref=search-standalone
